Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Denzil Smith, Sonali Raut, Chandan Roy Sanyal, Aslam Khan",N/A,N/A,N/A,Sanjay Sharma,Horror,tt6232448,N/A,N/A,Hindi,N/A,Paranormal: Based on True Events,N/A,N/A,N/A,N/A,,N/A,movie,N/A,Sanjay Sharma,2017
"Ganesh Venkatraman, Kalpana Pandit, Shobana, Sreedharan Karthikeyan",N/A,N/A,N/A,"Dr. Jay, Natty Kumar",Drama,tt2078757,3.5,11,Hindi,N/A,Tum Ho Yaara,Shvia is a software engineer who is in love with medical student Meera. Meera's Father Rajaraman is a don who taken law in his hands to provide justice. Rajaraman does not like Shiva who is...,N/A,N/A,N/A,,N/A,movie,N/A,N/A,2011
,,,,,,,,,,,,,,,,,,,,,
"Sonali Sharmistha Mohanty, Apurba Panda, Visant",N/A,N/A,N/A,Vicky Bahri,Drama,tt7283050,N/A,N/A,Hindi,N/A,Ticket to Bollywood,Ticket to Bollywood is an upcoming Indian Drama film showing the struggle of Arjun to establish himself as a director in Bollywood.,N/A,N/A,24 Aug 2018,,N/A,movie,N/A,Subham Pitambar Sahu,2018
,,,,,,,,,,,,,,,,,,,,,
"Sonal Chauhan, Anurag Sinha",N/A,N/A,N/A,Owais Husain,Romance,tt1756673,7.3,11,Hindi,N/A,Pehla Sitara,N/A,N/A,N/A,N/A,,N/A,movie,N/A,"Reima Husain (story), Owais Husain (story), Manu Warrier (screenplay), Owais Husain (screenplay), Somen Mishra (dialogues), M.F. Hussain (additional dialogue)",2012
"Mumtaz Ahmed, Bidita Bag, Madhuri Bhatia, K.K.Raina",N/A,N/A,N/A,Sanjay Amar,Drama,tt3585456,N/A,N/A,Hindi,N/A,19th January,"The concept of Kashmiryat assumes its real meaning in the film which reveals the real story of Kashmir. It is a cry of mourning, the wail of a widow, the dumb shriek of a motherless child. ...",N/A,N/A,N/A,,N/A,movie,N/A,Sanjay Amar,2014
"Miranda O'Hare, Marisa Lamonica, Zenia Starr, Nalini Krishan",N/A,N/A,N/A,Stanley Joseph,"Comedy, Drama, Romance",tt2496488,N/A,N/A,"English, Hindi",N/A,Love You Krishna,"The Chopras, a wealthy Indian-Australian family, are subtly influenced by a mysterious stranger's visits to their Sydney mansion.",N/A,N/A,01 Apr 2016,,N/A,movie,N/A,"Stanley Joseph (story), James Morcan (screenplay)",2016
"Sanam, Mir Sarwar, Neelam Singh, Rajinder Tickoo",N/A,N/A,N/A,Hussein Khan,Drama,tt5436698,N/A,N/A,Hindi,N/A,Kashmir Daily,N/A,N/A,N/A,21 Mar 2016,,N/A,movie,N/A,Hussein Khan,2016
"Anupam Bhattacharya, Jaswinder Gardner, Master Hardik Khanna, Atul Parchure",N/A,N/A,N/A,Seema Desai,Drama,tt3801886,N/A,N/A,Hindi,N/A,Pappu's Path,"When young Pappu meets a genie,he thinks all his problems will be taken care of but the genie had had other plans for him which make Pappu realize that there are no shortcuts to happiness and he identifies his own strength",N/A,N/A,07 Apr 2015,,83 min,movie,N/A,"Pramod Singh, Pramod Singh",2015
