Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Bipasha Basu, Lillete Dubey, Mahesh Manjrekar, Ronit Roy",N/A,N/A,N/A,Sudipto Chattopadhyay,Drama,tt1124386,4.4,103,Hindi,N/A,Pankh,"After maturing, a Bollywood child artiste longs to act as an adult.",N/A,N/A,02 Apr 2010,,98 min,movie,N/A,"Sudipto Chattopadhyay (story and screenplay), Sudipto Chattopadhyay",2010
"Isha Koppikar, Raj Arjun, Manish Wadhwa, Pradeep Singh Rawat",N/A,N/A,N/A,Lalit Marathe,"Action, Crime, Drama",tt2032530,5.8,111,"Hindi, Marathi, English",N/A,Shabri,An impoverished woman faces off against gangsters as well as the police after her brother is killed.,N/A,N/A,26 Aug 2011,,N/A,movie,N/A,"Lalit Marathe (story, screenplay, dialogue)",2011
"Arjun Bijlani, Rajniesh Duggall, Rajkumar Kanojia, Hemant Pandey",N/A,N/A,N/A,Rajiv S. Ruia,"Action, Comedy, Romance",tt4340180,4.1,53,Hindi,N/A,Direct Ishq,Direct Ishq is a love triangle where Dolly Pandey is the common love interest of Kabeer Bajpai an event organiser and Vicky Shukla President of Kashi Vidyapeeth.,N/A,N/A,19 Feb 2016,,130 min,movie,N/A,"Bobby Khan, A.M. Turaz",2016
"Kartik Elangovan, Vinay Forrt, Aahana Kumra, P.T. Manoj",N/A,N/A,N/A,Anup Kurian,Thriller,tt2009592,5.6,166,"English, Hindi",N/A,The Blueberry Hunt,"The film centers on a recluse known as ""Colonel"" and the final five days when Colonel's plantation of a high potency variant of marijuana gets ready for harvest.",Zinemaya Inc.,N/A,08 Apr 2016,,110 min,movie,http://www.thehuntcinema.com/,Anup Kurian,2016
"Srinivasa Rao Kota, Nasser, Nikitha, Srikanth",N/A,N/A,N/A,Satish Kasetty,"Action, Thriller",tt5175168,N/A,N/A,Telugu,N/A,Terror,N/A,N/A,N/A,N/A,,130 min,movie,N/A,"Lakshmi Bhoopal (dialogue), Suresh Geervani (script consultant), Satish Kasetty (story), Santoshmohan Veeranki (script consultant)",2015
"Bharat Balani, Vaibhav Chauhan, Sikandar Kureshi, Sameer Pahadia",N/A,N/A,N/A,Anil Naryani,Action,tt4862824,5.5,6,Hindi,N/A,Nath Ek Pratha,Nath reveals a past decade custom of rajasthan where prostitution is a hard core reality. Its a story about love and revenge.,N/A,N/A,14 Aug 2015,,137 min,movie,N/A,Sagar Pathak,2015
"Harry Key, Thomas Munro, Ashmit Patel, Madhu Sharma",N/A,N/A,N/A,Sajeev Balath,History,tt1946428,N/A,N/A,N/A,N/A,The Flag,N/A,N/A,N/A,N/A,,N/A,movie,N/A,Sanjay Masoom,2006
"Farooq Shaikh, Deepti Naval, Swara Bhaskar, Amala Akkineni",1 win.,N/A,N/A,Avinash Kumar Singh,Drama,tt2224313,6.9,513,"Hindi, Tamil, English",N/A,Listen... Amaya,"(Hindi with English subtitles) In this poignant Bollywood-styled indie interpretation about family ties and growing up, fiery 22-year old writer Amaya struggles to balance working life with...",Asian Crush,N/A,01 Feb 2013,,108 min,movie,N/A,"Vikas Chandra (additional dialogue), Avinash Kumar Singh (dialogue), Avinash Kumar Singh, Geeta Singh (dialogue), Geeta Singh (story and screenplay)",2013
"Naseeruddin Shah, Disha Arora, Auroshika Dey, Subrat Dutta",N/A,N/A,N/A,Manish Srivastav,Thriller,tt2190820,4.5,142,Hindi,N/A,Charlie Kay Chakkar Mein,"Our life revolves around perception of truth, in our lives we act only on our ability to judge the truth. Truth though is a fickle thing, paradoxically because it only occurs in absolution;...",N/A,N/A,06 Nov 2015,,102 min,movie,N/A,"Amit Sial, Manish Srivastav",2015
,,,,,,,,,,,,,,,,,,,,,
"Sumeet Nijhawan, Mona Wasu, Mohammed Zeeshan Ayyub, Ashok Banthia",1 win.,N/A,N/A,Jaideep Chopra,Thriller,tt2554042,7.1,49,Hindi,N/A,Maazii,Tarun and his wife Shrishti are living a happy life with there daughter . One day to save the Honor of a woman Tarun accidentally kills two gangsters. After this his black past unfolds and ...,N/A,N/A,27 Sep 2013,,123 min,movie,N/A,"Sumit Nijhawan, Shirish Sharma",2013
"Alok Chaturvedi, Chandra Shekhar Dutta, Joydip Mukhopadhyay, Megh Pant",4 wins & 2 nominations.,N/A,N/A,Ram Ramesh Sharma,"Drama, Thriller",tt3095248,6.9,213,"Hindi, English, Kashmiri",N/A,Kaafiron Ki Namaaz,"""Kaafiron Ki Namaaz"" is about a recently court martialed army officer, a writer and a musician who confess their most personal secrets to each other on a rainy Christmas Eve somewhere in ...",N/A,N/A,07 Apr 2016,,149 min,movie,N/A,Ram Ramesh Sharma,2013
"Tannishtha Chatterjee, Boman Irani, Divya Dutta, Sanjay Suri",N/A,N/A,N/A,Brahmanand S. Singh,Drama,tt7743400,N/A,N/A,Hindi,N/A,Jhalki... Ek Aur Bachpan,N/A,N/A,N/A,N/A,,N/A,movie,N/A,N/A,2018
"Vivek Oberoi, Mallika Sherawat, Neha Dhupia, Anshuman Jha",2 wins.,N/A,N/A,Sanjay M. Khanduri,"Adventure, Comedy, Crime",tt2402131,4.3,505,Hindi,N/A,Kismet Love Paisa Dilli,"Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting ...",N/A,N/A,05 Oct 2012,,129 min,movie,N/A,"Sanjay M Khanduri, Sanjay M Khanduri, Rishabh Sharma (dialogue)",2012
"Kay Kay Menon, Ranvir Shorey, Pradhuman Singh, Neha Bhasin",N/A,N/A,N/A,Rakesh Mehta,Comedy,tt2327389,5.9,181,Hindi,N/A,Life Ki Toh Lag Gayi,"A one-day journey of four different people struggling in the city of Mumbai. One with vengeance, one on a mission, one with hope and one looking to con.",N/A,N/A,20 Apr 2012,,155 min,movie,N/A,Rakesh Mehta,2012
"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma",N/A,"$84,004",N/A,Sangeeth Sivan,"Action, Comedy, Drama",tt2510874,3.4,"1,423",Hindi,N/A,Yamla Pagla Deewana 2,"The trio of Dharam (Dharmendra), Paramveer (Sunny Deol) and Gajodhar (Bobby Deol) reunite, this time in the UK. Paramveer opens up the ""Yamla Pagla Deewana"" club and re-encounters a visit ...",Viva Entertainment,N/A,07 Jun 2013,,154 min,movie,http://www.facebook.com/YamlaPaglaDeewanaOfficial,"Jasvinder Bath (screenplay and dialogue), Lynda Deol (story)",2013
"Jigna Bhardwaj, Chutki, Kaustav Ghosh, Rajesh Kava",N/A,N/A,N/A,Rajiv Chilaka,"Animation, Adventure, Fantasy",tt2798620,5.9,34,Hindi,N/A,Chhota Bheem and the Curse of Damyaan,Bheem and his friend should destroy damyaan along with (the book of magi) to free them from his prison and to save their city,N/A,N/A,18 May 2012,,88 min,movie,N/A,"Rajiv Chilaka (original idea), Richa Deo, Seeta",2012
,,,,,,,,,,,,,,,,,,,,,
"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura, Vikram Kochhar",N/A,N/A,N/A,Saandesh Nayak,"Comedy, Romance",tt5130348,6.4,49,Hindi,N/A,Love Shagun,Love Shagun is a romantic comedy about seven different definitions of love where the definitions are the characters themselves. This film encompasses the menial insecurities of today's ...,N/A,N/A,26 Feb 2016,,120 min,movie,N/A,"Saandesh Nayak, Vivek k Rawat",2016
,,,,,,,,,,,,,,,,,,,,,
"Ayaz Ahmed, Uppekha Jain, Anima Pagare",N/A,N/A,N/A,Sunil Shah,Crime,tt4839000,N/A,N/A,Hindi,N/A,Moods of Crime,"Moods Of Crime is a gripping tale revolving around a centrally essential character named Pooja, who is a psychology teacher located in Mumbai...",N/A,N/A,01 Aug 2015,,N/A,movie,N/A,Jesuraj,2015
,,,,,,,,,,,,,,,,,,,,,
"Akshay Anand, Kabir Bedi, Hitesh Bhardwaj, Abhay Bhargav",N/A,N/A,N/A,Akshay Anand,Drama,tt7720254,N/A,N/A,Hindi,N/A,Jaane kyun de yaaron,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,N/A,N/A,19 Jan 2018,,131 min,movie,N/A,"Akshay Anand, Ajit Rajpal",2018
"Ashraf Ali, Abbhimanyyu Singh, Priyanshu Painyuli, Rakesh Shah",N/A,N/A,N/A,Thomas Jacob,"Action, Thriller",tt2073098,N/A,N/A,Hindi,N/A,The Bhai,N/A,N/A,N/A,N/A,,N/A,movie,N/A,Thomas Jacob,2012
"Charu Asopa, Prashant Kanaujia, Zaan Khan, Shubhangi Mehrotra",N/A,N/A,N/A,Janak Toprani,Comedy,tt7317342,8.1,15,Hindi,N/A,Call for Fun,"Call For Fun is an edgy, coming of age laughathon revolving around the escapades of a young boy who takes over the reins of his father's business and faces a vortex of misadventures - mafia threats to client losses.",N/A,N/A,06 Oct 2017,,126 min,movie,N/A,Janak Toprani,2017
"Rajesh Desai, Ruchika Dhankhar, Aniket Dhawalshankh, Yatin Karyekar",N/A,N/A,N/A,Jaimin Bal,Thriller,tt5280308,N/A,N/A,Hindi,N/A,Downup the Exit 796,"Exit 796 is story about an Adolescent Geek who went into vicious circle of pang and toil, to protect his Mother and Mother land.",N/A,N/A,N/A,,115 min,movie,N/A,"Jaimin Bal, Ranju Cyclone",2016
"Mrinmayee Godbole, Isha Keskar, Abhay Mahajan, Saurabh Saraswat",N/A,N/A,N/A,Kranti Kanadé,"Drama, Romance",tt5359624,7.2,20,"Hindi, English, French",N/A,Crd,"Set in the world of College Theatre, CRD probes fascism and fierce competition in arts.",Kanadé Films,NOT RATED,04 Nov 2016,100%,108 min,movie,N/A,"Kranti Kanadé, Dharmakirti Sumant",2016
"Rekha, Hema Malini, Javed Sheikh, Avtar Gill",N/A,N/A,N/A,Raj Kanwar,"Drama, Romance",tt1183944,4.4,60,"Hindi, Panjabi, Urdu, English",N/A,Sadiyaan: Boundaries Divide... Love Unites,A Hindu/Sikh family face challenges when their adopted son falls in love with a Muslim girl.,N/A,N/A,02 Apr 2010,,N/A,movie,N/A,"Abhay Kanwar (re-written by), Raj Kanwar (screenplay), Raj Kanwar (story), Sameer (lyrics), Javed Siddiqui (dialogues)",2010
"Arshad Warsi, Saurabh Shukla, Sara Loren, Mihika Verma",N/A,N/A,N/A,Sourabh Shrivastava,Comedy,tt5013008,N/A,N/A,Hindi,N/A,Fraud Saiyyan,N/A,N/A,N/A,N/A,,N/A,movie,N/A,"Amal Donwaar, Sharad Tripathi",2016
"Sanchita Banerjee, Deepshika, Shakti Kapoor, Shahbaaz Khan",N/A,N/A,N/A,Ajit Varma,Drama,tt7346014,N/A,N/A,Hindi,N/A,Raktdhar,N/A,N/A,N/A,06 Oct 2017,,111 min,movie,N/A,Ajit Varma,2017
"Vishal Singh, Vikrant Anand, Chandani, Sonam Mishra",N/A,N/A,N/A,Sanoj Mishra,"Drama, Romance, Thriller",tt5137020,N/A,N/A,Hindi,N/A,Mungerilal B Tech,This film portrays the story of two college friends - Mungerilal and Pintu. Their college life throws various challenges and problems at them forcing them to walk on a very risky journey.,N/A,N/A,01 Apr 2016,,N/A,movie,N/A,Prafula Srivastava,2016
,,,,,,,,,,,,,,,,,,,,,
"Elena Kazan, Vishwajeet Pradhan, Subrat Dutta, Sunny Hinduja",N/A,N/A,N/A,Sudipto Sen,Thriller,tt2949654,N/A,N/A,Hindi,N/A,Aasma,"At the pinnacle of the splendor of the Himalayas sits the Kashmir valley, one of the most stunningly picturesque places on earth. But today, its grandeur has also become ubiquitous with the...",N/A,N/A,16 May 2015,,105 min,movie,N/A,"Sudipto Sen (story), Aparajit Shukla (script & dialogue)",2015
"Shradha Das, Rimple Dhindsa, Eijaz Khan, Ravi Kishan",N/A,N/A,N/A,Shammi Chhabra,Comedy,tt2612924,5.6,59,Hindi,N/A,Lucky Kabootar,Lucky (Eijaz Khan) loves 'modern' Kammo (Shradha Das) but ends up marrying the girl-next-door Lakshmi (Kulraj Randhawa). An accident leads him to believe that his wife is dead. Instead of ...,N/A,UNRATED,18 Apr 2014,,117 min,movie,N/A,"Shammi Chhabra, Shyam Goel",2014
"Kannan Arunachalam, Biswanath Basu, Vinod Khanna, Roopali Krishnarao",1 nomination.,N/A,N/A,Ashu Trikha,"Action, Drama",tt3640942,5.6,179,Hindi,N/A,Koyelaanchal,Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through ...,N/A,N/A,09 May 2014,,N/A,movie,N/A,"Vishal Vijay Kumar, Sanjay Masoom",2014
"Prakash Bare, Meena Kandasamy, Chala Chari, Bikramjit Gupta",5 wins.,N/A,N/A,Sanal Kumar Sasidharan,"Drama, Fantasy, Mystery",tt3737442,8.2,64,"Tamil, Hindi, English, Malayalam",N/A,Oraalppokkam,Mahendran and Maya split up after 5 years of living together. After a long time Maya calls him from a Himalayan valley Kedar which is devastated in a cloudburst soon. Mahendran starts an aimless journey which turns out to be a search.,N/A,N/A,01 Dec 2014,,99 min,movie,N/A,"Sanal Kumar Sasidharan (screenplay), Sanal Kumar Sasidharan (scripted by), Sanal Kumar Sasidharan (story)",2014
"Vijay Ashok Sharma, Aastha Gautam, Akshay Loomba, Gaurav Aryan Naidu",N/A,N/A,N/A,"Moosa Saleem, Hardik Kapadia","Mystery, Sci-Fi, Thriller",tt5947332,8.3,12,Hindi,N/A,Cryptic Road,"A struggling writer, with mind reading ability, finds a subject whose story can bring him the fame and money he always craved for. The thrill begins when his mind clashes with one of his kind.",N/A,N/A,26 Jul 2016,,N/A,movie,N/A,"Hardik Kapadia, Moosa Saleem",2016
"Asrani, Milind Gunaji, Adi Irani, Anant Jog",N/A,N/A,N/A,Babloo Seshadri,Drama,tt3766798,N/A,N/A,Hindi,N/A,Wake Up India,"A girl ( Sai Tamhankar) stages protest against the system, when cops refuse to lodge a complaint against the 75-year-old Chief Minister, who allegedly raped her. The accused minister ...",N/A,N/A,23 Oct 2013,,130 min,movie,N/A,N/A,2013
,,,,,,,,,,,,,,,,,,,,,
"Soha Ali Khan, Zakir Hussain, Seema Biswas, Mukesh Tiwari",N/A,N/A,N/A,Manish Harishankar,"Drama, Thriller",tt3021244,6.3,22,Hindi,N/A,Chaarfutiya Chhokare,"Neha, comes to a small village in Bihar, India to construct a school building, for her NGO. She meets the principal to discuss the plans. While leaving from there Neha is shocked to know ...",N/A,N/A,26 Sep 2014,,119 min,movie,N/A,Manish Harishankar,2014
"Aman Verma, Vedita Pratap Singh, Arvind Gaur, Jasveer Kaur",N/A,N/A,N/A,Shailendra Pandey,Drama,tt5463608,N/A,N/A,Hindi,N/A,J.D.,N/A,N/A,N/A,11 Mar 2016,,N/A,movie,N/A,"Vishal Vijay Kumar, Shailendra Pandey",2016
"Richa Chadha, Neil Nitin Mukesh, Juby Devasia, Manish Anand",N/A,N/A,N/A,Prerna Wadhawan,Comedy,tt2802062,N/A,N/A,Hindi,N/A,Ishqeria,This movie based on a story on which,N/A,N/A,N/A,,N/A,movie,N/A,"Radhika Anand, Prerna Wadhawan",2016
"Rahul Bose, Dinesh Lamba, Nassar Abdulla, Paul Clerkin",N/A,N/A,N/A,Sajit Warrier,Horror,tt1577050,4.6,166,Hindi,N/A,Fired,"After firing 121 employees, CEO Joy Mittal is tormented and terrorized by ghostly apparitions during a late night at the office.",N/A,NOT RATED,29 Jan 2010,,87 min,movie,N/A,"Kenny Basumatary (dialogue), Rohit Gahlowt (story and screenplay), Shripal Morakhia (story and screenplay), Sajit Warrier (story and screenplay)",2010
"Jimmy Shergill, Sanjay Suri, Hazel Croney, Kaveri Jha",N/A,N/A,N/A,Hemant Madhukar,"Drama, Horror, Romance",tt0988655,4.7,171,"Hindi, English",N/A,A Flat,"A spate of unexpected events jolted Rahul as soon as he landed from U.S. Now, Rahul finds himself trapped in his own flat, completely cut off from the world. The only companion he has is a ghost, a ghost that will not let go of him.",N/A,N/A,12 Nov 2010,,103 min,movie,N/A,"Hemant Madhukar (screenplay), Hemant Madhukar (story), Ajay Monga (screenplay & dialogues)",2010
"Barkha Madan, Sumit Suri, Vineeta Malik, Kanza Feris",4 wins.,N/A,N/A,Sanjay Talreja,"Adventure, Drama, Thriller",tt2591508,6.7,31,Hindi,N/A,Surkhaab,An illegal immigrant and a carrier who is on the run in a world alien from her. An exposure to the parallel world that exists in developed countries. A week in the life of a human being trafficked.,N/A,N/A,24 Apr 2015,,100 min,movie,N/A,"Rajesh Chawla (dialogue), Sanjay Talreja",2014
"Rohan Jardosh, Ishita Salot, Gunjan Vyas, Touqeer Khan",N/A,N/A,N/A,Apurv Bajpai,Mystery,tt4643782,4.7,7,Hindi,N/A,Amdavad Junction,"Amdavad Junction is a murder mystery. Two police officers, appointed to investigate a murder case, find it extremely difficult to make headway due to the lack of clues.",N/A,N/A,25 Oct 2013,,95 min,movie,N/A,Bajpai Apurv,2013
"Dev Anand, Divya Dutta, Shehzad Khan, Devshi Khanduri",N/A,N/A,N/A,Dev Anand,"Drama, Thriller",tt1368453,6.1,77,Hindi,N/A,Chargesheet,The story revolves around the murder case of an actress.,Verktan,N/A,30 Sep 2011,,N/A,movie,http://www.navketanfilms.com/popup_chargesheet.html,N/A,2011
,,,,,,,,,,,,,,,,,,,,,
"Kanika Batra, Gulshan Grover, Rohiet Nair, Sameer Kevin Roy",N/A,N/A,N/A,Saad Khan,"Crime, Drama, Thriller",tt2191164,7.6,88,"Hindi, English",N/A,Station,Three psychotic assassins take up a job at a waiting room of a deserted railway Station. Will they finish the job or anything that can go wrong will go wrong?,N/A,N/A,28 Mar 2014,,103 min,movie,N/A,"Saad Khan (story), Saad Khan, Saad Khan",2014
"Prashant Barot, Deepanshu Malik, Rumana Molla, Rajesh Pathak",N/A,N/A,N/A,Anil Bajpai,Horror,tt6651090,N/A,N/A,Hindi,N/A,Bhangarh: The Last Episode,"In March 2012, five crew members of a news channel disappeared in Rajasthan while shooting an episode of a paranormal TV show in the world's most haunted location, Bhangarh. After two years their footage was found.",N/A,N/A,30 Mar 2017,,84 min,movie,N/A,Anil Bajpai,2017
"Zeenat Aman, Kapil Sharma, Yuvraaj Parashar, Meera",N/A,N/A,N/A,"Tonje Gjevjon, Sanjay Sharma","Drama, Romance",tt3959526,6.7,15,"Hindi, English, Norwegian",N/A,Dunno Y 2... Life Is a Moment,"Life is a moment is a love story between two men, one from Pakistan and one from India, who meet in a gay sauna in Oslo. The film is based on the resources individuals bring up when the ...",N/A,N/A,28 Jul 2016,,95 min,movie,N/A,"Kapil Sharma (screenplay), Tonje Gjevjon (screenplay), Mona Kragger (screenplay), Mona Klubben (screenplay), Kapil Sharma (story), Tonje Gjevjon (story), Mona Kragger (story), Mona Klubben (story), Kapil Sharma (dialogue), Tonje Gjevjon (dialogue), Mona Kragger (dialogue), Mona Klubben (dialogue)",2015
"Deepak Dobriyal, Priya Bhatija, Anshul Kataria, Paru Uma",N/A,N/A,N/A,Rajesh. K.,"Comedy, Drama, Thriller",tt2337292,6.7,212,Hindi,N/A,Chor chor super chor,"In the crowded by lanes of old Delhi, Shukla ji runs a small photo studio as a front for small time crime. Over the years he has groomed a bunch of youngsters in the art of pick pocketing ...",Shemaroo,PG,02 Aug 2013,,99 min,movie,N/A,"Rajesh. K. (story), Ani Thomas (screenplay), Radhakrishnan Cherpu (screenplay), Alok Chaturvedi (dialogue writer), Rajesh. K.",2013
"Naga Chaitanya Akkineni, Amala Paul, Prabhu, Srinivasa Rao Kota",N/A,N/A,N/A,Vivek Krishna,"Action, Crime, Drama",tt2071418,3.5,158,"Telugu, Hindi, Tamil, Malayalam",N/A,Bezawada,A jealous young man kills his elder brother and blames it on his brother's close personnel and later gets him killed too. The deceased man's younger brothers avenge their kin's death and provide the people with truth.,Independent Bollywood,N/A,01 Dec 2011,,N/A,movie,N/A,"Vivek Krishna (dialogue), Vivek Krishna (story and screenplay)",2011
"Ravi Kishan, Manish Vatsalya, Yashpal Sharma, Rahul Kumar",N/A,N/A,N/A,Manish Vatsalya,Drama,tt2294685,5.9,21,Hindi,N/A,Jeena Hai Toh Thok Daal,The horrid realities of underworld crime as well as the changing times of Bihar state.,N/A,N/A,14 Sep 2012,,N/A,movie,N/A,Saurabh Choudhary (screenplay),2012
"Raj Singh Chaudhary, Radhika Apte, Sandeep Kulkarni, Prateeksha Lonkar",N/A,N/A,N/A,Maneej Premnath,"Crime, Drama, Mystery",tt1948640,6.0,67,"Hindi, Tamil, Marathi, Gujarati",N/A,The Waiting Room,People in a railway station waiting room suspect one of them is a serial killer.,N/A,N/A,16 Jan 2010,,90 min,movie,N/A,Maneej Premnath (story script),2010
"Samir Soni, Sonika Chopra, Jaswinder Kaur, Anuradha Khaira",N/A,N/A,N/A,Saket S. Behl,Horror,tt5980022,N/A,N/A,Hindi,N/A,Cawnpore Villa,"They say our destiny is determined by the deed's of our forefathers , Cawnpore Villa is such a story which proves the same - UNTIL ???",N/A,N/A,N/A,,90 min,movie,N/A,"Vekeana Dhillon, Puneet Sira",2017
"Deepti Naval, Vijay Raaz, Meghna Naidu, Saadhika Randhawa",N/A,N/A,N/A,Ashok Nanda,"Crime, Drama, Thriller",tt1643242,4.6,37,"Hindi, English",N/A,Trapped in Tradition: Rivaaz,A man falls in love with a village belle who is destined for traditional prostitution.,Venus,N/A,16 Sep 2011,,N/A,movie,N/A,"Reeg Deb (lyrics), Ashok Nanda, Ratan Pasricha (lyrics), Rakesh Chandra Saroj (dialogue), Vijay Vijawat (lyrics), Yashandra (lyrics)",2011
"Mohinder Gujral, Yuvraj Haral, Vijayant Kohli, Neha Pawar",N/A,N/A,N/A,Sachin Gupta,"Drama, Romance",tt2907156,5.0,75,Hindi,N/A,Paranthe Wali Gali,A romance between a Sikh girl Naina Kaur and a Rajasthan boy Maulik.,Rajshri Media,NOT RATED,17 Jan 2014,,101 min,movie,N/A,Sachin Gupta,2014
"Joyita Das, Das Joyita, Azad Rahul, Raksha",N/A,N/A,N/A,Krishnan Pv,Thriller,tt2549618,4.7,6,Hindi,N/A,August 2,"This movie is about three different people who are having their own plans for the day, On August 2, Naveen who had a recent rift with his girlfriend plans to apologize her to bury the ...",N/A,N/A,21 Dec 2012,,N/A,movie,N/A,Krishnan Pv,2012
"Mandakini Goswami, Rajesh Jais, Sanjay Mishra, Yashpal Sharma",N/A,N/A,N/A,Pawan Kumar Sharma,Drama,tt5950816,N/A,N/A,Hindi,N/A,brina,N/A,N/A,N/A,N/A,,N/A,movie,N/A,Jitendra Gupta,2016
"Sameer Dharmadhikari, Swapnil Joshi, Urmila Kanitkar, Upendra Limaye",N/A,N/A,N/A,Sanjay Jadhav,Drama,tt4145848,6.4,32,"Marathi, Hindi",N/A,Pyaar Vali Love Story,"Pyar Vali Love Story' presents two parallel stories. The first one is between a Garage owner Pashyabhai in a chawl and a street-smart and blunt girl Nandini , living in the chawl. When ...",N/A,N/A,24 Oct 2014,,133 min,movie,N/A,"Sanjay Jadhav, Aashish Pathre",2014
"Meenakshi Dixit, Indrajeet Soni, Bharat Jadhav, Yashpal Sharma",N/A,N/A,N/A,Kundan Shah,"Comedy, Drama",tt3255586,4.6,38,Hindi,N/A,P Se PM Tak,"In this comedy of errors, Kasturi is a prostitute who gets caught in the middle of an elaborate scheme orchestrated by two warring political parties.",N/A,N/A,29 May 2015,,123 min,movie,N/A,Kundan Shah,2015
"Mohit Baghel, Sheena Bajaj, Manish Chaudhary, Lavin Gothi",N/A,N/A,N/A,Jasbir Bhaati,"Comedy, Drama",tt4541102,4.7,104,Hindi,N/A,Uvaa,"Ram, Anil, Vikram, Salmaan and Deenbandhu are the rebellious brats of suburban Delhi NCR, with the world at their feet and nothing to worry they stomp everything in their path without ...",N/A,N/A,26 Jun 2015,,138 min,movie,N/A,Jasbir Bhaati,2015
"Karan Sharma, Shaurya Chauhan, Bhaumik Sampat, Kadambari Jethwani",N/A,N/A,N/A,Muazzam Beg,"Comedy, Drama, Romance",tt1941638,7.2,"1,139",Hindi,N/A,Sadda Adda,"'The only thing that will stop you from fulfilling your dreams is you"" People have dreams, but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We ...",N/A,N/A,13 Jan 2012,,130 min,movie,N/A,Muazzam Beg,2011
