Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
,,,,,,,,,,,,,,,,,,,,,
"Rahul Bagga, Tara-Alisha Berry, Akash Dhaiya, Istiyak Khan",N/A,N/A,N/A,Akhilesh Jaiswal,Drama,tt3431714,4.8,364,Hindi,N/A,Mastram,How a clerk became an erotica writer.,N/A,N/A,09 May 2014,,98 min,movie,N/A,"Akhilesh Jaiswal, Gunjan Saxena",2013
"Vinay Pathak, Riya Sen, Jagrat Desai, Sasha Goradia",N/A,N/A,N/A,Deepa Sahi,"Comedy, Drama, Romance",tt1696191,5.3,225,"Hindi, Panjabi, English",N/A,Tere Mere Phere,An irate groom-to-be abducts a recently married bickering couple and asks them to take him to his wedding.,N/A,N/A,30 Sep 2011,,120 min,movie,N/A,"Jagrat Desai (story), Deepa Sahi (screenplay), Deepa Sahi (story)",2011
"Shagufta Ali, Hrishitaa Bhatt, Avtar Gill, Shakti Kapoor",N/A,N/A,N/A,Sushikailash,Romance,tt5994086,4.9,14,Hindi,N/A,Dil Sala Sanki,"A young ne'er-do-well becomes a man in the process of standing up to his disreputable childhood idol for the love of a woman who must learn, in her turn, to love him. On their journey, the couple makes some serious enemies.",N/A,N/A,09 Sep 2016,,110 min,movie,N/A,N/A,2016
"Nawazuddin Siddiqui, Mukkund Shukla, Seema Biswas, Sugandha Garg",1 win & 1 nomination.,"$7,725",N/A,Prashant Bhargava,Drama,tt1153700,6.3,241,"Hindi, Gujarati, English",67,Patang,"In the old city of Ahmedabad, amid India's largest kite festival, a family duels, spins and soars like the countless kites in the skies above.",Khushi Films,N/A,15 Jun 2012,56%,93 min,movie,http://www.patang.tv,"Prashant Bhargava (screenplay), James Townsend",2011
,,,,,,,,,,,,,,,,,,,,,
"Sachin Khedekar, Seema Biswas, Ankush Chaudhari, Satish Kaushik",N/A,N/A,N/A,Mahesh Manjrekar,"Crime, Drama",tt1608768,6.8,315,"Hindi, Marathi, English",N/A,City of Gold - Mumbai 1982: Ek Ankahee Kahani,An impoverished family faces challenges and obstacles after strikes/shut-downs/arson shut down Mumbai's mills.,N/A,N/A,01 Apr 2010,,145 min,movie,N/A,"Vidyadhar Bhave (lyrics), Abhijeet Deshpande (dialogue), Mahesh Manjrekar (screenplay), Jayant Pawar (screenplay), Jayant Pawar (story), Guru Thakur (lyrics)",2010
"Swara Bhaskar, Reema Debnath, Saurabh Dubey, Hritu",1 nomination.,N/A,N/A,Debaloy Dey,Horror,tt2208248,4.4,76,Hindi,N/A,Machhli Jal Ki Rani Hai,"It's not just a matter of one spirit, it's a matter of multiple possessions in one body.",N/A,N/A,13 Jun 2014,,120 min,movie,N/A,N/A,2014
"Sudesh Berry, Raja Bherwani, Rajendra Chawla, Sachiin Joshi",N/A,N/A,N/A,Ankush Bhatt,"Action, Crime, Thriller",tt2633826,5.5,86,English,N/A,Mumbai Mirror,Manoj Mishra ( steadicam operator ),Independent Bollywood,N/A,18 Jan 2013,,N/A,movie,N/A,Ghalib Asadbhopali,2013
,,,,,,,,,,,,,,,,,,,,,
