Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Alia Bhatt, Shahid Kapoor",N/A,N/A,N/A,Ajay Shukla,Crime,tt7405336,N/A,N/A,Hindi,N/A,KHATA-Kaash Humse Na Hoti,"Raj Malhotra is a Business Tycoon in Mumbai He have two Children Raj and Mili, and Raj Have a Wife named Khushi Malhotra, Raj wants a House Keeper so Comes a Beautiful teenager Syla (Main ...",N/A,N/A,14 Aug 2018,,100 min,movie,N/A,"Virendra Singh Patyal, Arun Srivastava",2018
"Adhyayan Suman, Ariana Ayam, Deepti Naval, Om Puri",1 nomination.,N/A,N/A,Shekhar Suman,"Drama, Family, Romance",tt3334348,5.4,390,Hindi,N/A,Heartless,"A young man, Aditya Singh (Adhyayan), who fell deeply in love with a beautiful girl (Ariana). Soon he had a severe heart-attack, and when consulted with his doctor-friend (Shekhar Suman), ...",N/A,N/A,07 Feb 2014,,131 min,movie,N/A,"Nina Arora (screenplay), Niranjan Iyengar (dialogue), Arafat Mehmood (lyrics), Seema Saini (lyrics), Shekhar Suman (lyrics), Shekhar Suman (story)",2014
"Arya, Anushka Shetty, Jaya Bhaduri, Venkatesh Harinathan",1 nomination.,N/A,N/A,K. Selvaraghavan,"Fantasy, Romance",tt3107246,5.9,901,"Tamil, Telugu, Hindi, Georgian, Russian, Uzbek, Turkish",N/A,Irandam Ulagam,Two parallel love stories on two planets.,Blue Sky Cinema,N/A,22 Nov 2013,,158 min,movie,https://www.facebook.com/IrandamUlagam.Varna,K. Selvaraghavan,2013
"Sunny Deol, Soha Ali Khan, Om Puri, Aachal Munjal",N/A,N/A,N/A,Sunny Deol,"Action, Drama, Thriller",tt4683366,6.5,"4,410",Hindi,N/A,Ghayal Once Again,"When a video of his mentor's murder surfaces, an investigative journalist takes action to find those responsible.",B4U US,N/A,05 Feb 2016,60%,127 min,movie,N/A,"Shaktimaan Talwar (story), Sagar Pandya (story), Sanjay Masoom (screenplay and dialogue), Vishal Vijay Kumar (screenplay and dialogue), Vishal Vijay Kumar",2016
"Anushka Shetty, Samrat, Pradeep Singh Rawat, Nassar",N/A,N/A,N/A,Samudra V.,"Drama, Fantasy, Thriller",tt1629737,4.3,67,"Telugu, Hindi, English",N/A,Panchakshari,"Possessed by Devi Maa, a blessed woman predicts her own death, leaving her shattered family to deal with a look-alike.",N/A,N/A,11 Jun 2010,,N/A,movie,N/A,"Prasad Thota (dialogues), Samudra V. (screenplay), Madhu Vipparthi (story)",2010
,,,,,,,,,,,,,,,,,,,,,
"Atul Kulkarni, Rituparna Sengupta, Darsheel Safary, Ziyah Vastani",N/A,N/A,N/A,Priyadarshan,"Action, Drama, Thriller",tt1629241,6.0,387,Hindi,N/A,Bumm Bumm Bole,Pinu loses his sister Rimzim's shoes so they both decide to share a pair of shoes until their father has saved enough money to buy a new pair.,Sanjay Ghodawat Group,N/A,14 May 2010,,124 min,movie,N/A,"Manisha Korde (screenplay), Sameer (lyrics), Irfan Siddiqui (lyrics), Satish Mutatkar (lyrics)",2010
"Tottempudi Gopichand, Tapsee Pannu, Shakti Kapoor, Raj Singh Arora",N/A,N/A,N/A,Chandra Sekhar Yeleti,"Action, Adventure",tt2905768,6.6,568,"Telugu, Urdu, Hindi",N/A,Sahasam,"Gautham Varma, an A.T.M security guard, goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India - Pakistan partition.",Bluesky Cinemas,N/A,12 Jul 2013,,150 min,movie,N/A,"K.K. Radhakrishna Kumar (dialogue by), Chandra Sekhar Yeleti (story & screenplay)",2013
"Akshay Kumar, Trisha Krishnan, Rajpal Yadav, Johnny Lever",N/A,"$541,904",23 Nov 2010,Priyadarshan,"Action, Comedy, Crime",tt1455811,5.7,"7,548",Hindi,N/A,Khatta Meetha,"A seemingly corrupt petty contractor faces challenges from the local municipality, his family, his employees, as well as a former girlfriend and her family.",Eros International,NOT RATED,23 Jul 2010,20%,157 min,movie,http://www. Khattameethathefilm.com/,"Jay Master (dialogues), Priyadarshan (screenplay), Priyadarshan (story), Nitin Raikwar (lyrics), Shehzad Roy (lyrics)",2010
"Mohammad Reza Golzar, Dia Mirza, Benyamin Bahadori, Behrouz Chahel",N/A,N/A,N/A,Ghorban Mohammadpour,"Comedy, Drama, Romance",tt5755594,4.4,404,"Persian, Hindi, English",N/A,Hello Mumbai: Salam Mumbai,"Ali is an Iranian exchange student from Iran who is studying medicine as a cardio resident in Mumbai. By chance, he saves the life of one of his classmates Karishma, who has attempted ...",N/A,N/A,15 Nov 2016,,108 min,movie,N/A,Ghorban Mohammadpour,2016
"Tia Bajpai, Rakesh Bedi, Deep Dholakia, Satyajeet Dubey",N/A,N/A,N/A,Aijaz Khan,Comedy,tt4177040,7.0,144,"Hindi, Hindi",N/A,Baankey Ki Crazy Baraat,"It's a quirky situational comedy that tickles your funny bone, unexpectedly. The ensemble cast of actors that creates a laugh riot, that escalates in to a hangama ~ that will leave you ...",N/A,N/A,28 Aug 2015,,138 min,movie,N/A,N/A,2015
"Gaurav Paswala, Ashrut Jain, Disha Kapoor, Gaurav Kothari",N/A,N/A,N/A,Bharat Jain,Horror,tt5162476,5.4,28,Hindi,N/A,6-5=2,"Starring Niharica Raizada, Prashantt Guptha, Ashrut Jain, Gaurav Paswala, Gaurav Kothari, Disha Kapoor and Darshan M and cinematography by Sathya Hegde who is a prominent cinematographer in...",N/A,N/A,14 Nov 2014,,104 min,movie,N/A,N/A,2014
"Vishwanath Chatterjee, Zakir Hussain, Nassar, Vivek Oberoi",N/A,N/A,N/A,Vinnil Markan,"Action, Comedy, Romance",tt2622130,5.3,"1,032",Hindi,N/A,Jayantabhai Ki Luv Story,"Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",N/A,N/A,15 Feb 2013,,130 min,movie,N/A,Kiran Kotrial,2013
"Akshay Bhagat, Ranbir Chakma, Nikhil Desai, Raj Kesaria",N/A,N/A,N/A,Amit Saxena,"Drama, Thriller",tt3044882,3.2,919,Hindi,N/A,Nasha,An 18 year old boy falls in love with his 25 year old drama teacher.,N/A,N/A,26 Jul 2013,,122 min,movie,N/A,Ajit Rajpal,2013
"Asrani, Arya Babbar, Sayali Bhagat, Mansi Dovhal",N/A,N/A,N/A,Manduip Singh,Comedy,tt2337867,N/A,N/A,Hindi,N/A,Choron Ki Baraat,"Pyare, Mohan and Raju (Arya Babbar, Rajpal Yadav and Aditya) locked them self in a local police station to save from people whom these three have cheated. Chaudhary (Om Puri) is the head of...",N/A,N/A,N/A,,N/A,movie,N/A,"Shekhar Ramesh Mishra (dialogue), Kishen Dev Sharma (story & screenplay)",2017
"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi, Huma Qureshi",3 wins & 11 nominations.,N/A,N/A,Abhishek Chaubey,"Comedy, Drama, Romance",tt2675978,7.1,"6,060","Hindi, Urdu",N/A,Dedh Ishqiya,Two lousy crooks find paradise in the seven stages of love.,Shemaroo Entertainment Inc.,NOT RATED,10 Jan 2014,,152 min,movie,https://www.facebook.com/DedhIshqiya,"Vishal Bhardwaj (dialogue), Vishal Bhardwaj (screenplay), Abhishek Chaubey (screenplay), Darab Farooqui (story)",2014
"Jacqueline Fernandez, Michalina Olszanska, Riteish Deshmukh, Rajesh Sharma",N/A,N/A,N/A,Karan Anshuman,"Comedy, Drama",tt3422462,4.6,868,Hindi,N/A,Bangistan,"Two blundering terrorists with lofty ideologies, but ordinary talent, on a mission to change the world.",Eros Entertainment,N/A,07 Aug 2015,50%,135 min,movie,N/A,"Puneet Krishna, Sumit Purohit, Karan Anshuman",2015
"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal",2 nominations.,"$420,046",N/A,Rajesh Mapuskar,"Comedy, Drama, Family",tt2122340,6.4,"4,256",Hindi,N/A,Ferrari Ki Sawaari,How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,Eros Entertainment,N/A,15 Jun 2012,,140 min,movie,http://www.ferrarikisawaarithefilm.com/,"Vidhu Vinod Chopra (original story and screenplay), Rajesh Mapuskar (original story and screenplay), Rajkumar Hirani (original story and dialogue), Shekhar Dhavalikar (script associate), Ranjeet Bahadur (dialogue associate)",2012
"Amitabh Bachchan, Boman Irani, Parth Bhalerao, Sanjay Mishra",1 win & 1 nomination.,N/A,N/A,Nitesh Tiwari,"Comedy, Drama, Fantasy",tt3531852,6.8,"4,005",Hindi,N/A,Bhoothnath Returns,"A ghost returns back from his world to prove something. But on earth, he has something more to do for his country.",B4U US,N/A,11 Apr 2014,,155 min,movie,https://www.facebook.com/officialbhoothnathreturns,"Piyush Gupta, Shreyas Jain (additional script writer), Nikhil Mehrotra (additional script writer), Nitesh Tiwari",2014
"Arshad Warsi, Soha Ali Khan, Naatak Amaan, Rajesh Balwani",N/A,N/A,N/A,Samir Tewari,Comedy,tt2876408,3.7,418,Hindi,N/A,Mr Joe B. Carvalho,A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,N/A,N/A,03 Jan 2014,,130 min,movie,N/A,"Mahesh Ramchandani, Arshad Sayyad",2014
,,,,,,,,,,,,,,,,,,,,,
"Darshan Kumar, Piaa Bajpai, Priyanshu Chatterjee, Swanand Kirkire",N/A,N/A,N/A,Rajesh Ram Singh,Drama,tt6016672,5.3,65,Hindi,N/A,Mirza Juuliet,"The world is full of fascination and obsessions. Different people have different desires and goals in life. For some its power, for some its money, for some its someone and for some its ...",N/A,N/A,07 Apr 2017,,130 min,movie,N/A,"Shanti Bhushan (dialogue), Shanti Bhushan (screenplay and story)",2017
"Mithun Chakraborty, Ajay Devgn, Kareena Kapoor Khan, Tusshar Kapoor",1 win & 6 nominations.,"$1,132,192",15 Feb 2011,Rohit Shetty,"Action, Comedy, Drama",tt1562859,5.4,"5,882",Hindi,N/A,Golmaal 3,"In Goa, Pritam meets his love Geeta after many years. They decide to get married but the feud between their respective children creates tension in their marriage.",Eros International,NOT RATED,05 Nov 2010,50%,155 min,movie,http://www.golmaal3thefilm.com/,"Bunty Rathore (additional dialogue), Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji (dialogue)",2010
"Naman Jain, Mithun Chakraborty, Krutika Deo, Gaurav Dwivedi",N/A,N/A,N/A,Vibhu Puri,"Biography, Drama, Fantasy",tt4338154,5.6,"1,283",Hindi,N/A,Hawaizaada,"The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went...",Reliance Entertainment,N/A,06 Feb 2015,,148 min,movie,http://www.facebook.com/RelianceEntertainment,"Saurabh Bhave, Vibhu Puri",2015
"Pankaj Tripathi, Sandeepa Dhar, Ravi Kishan, Abhimanyu Singh",N/A,N/A,N/A,Manoj Tiwari,Thriller,tt3590416,5.5,117,Hindi,N/A,Global Baba,"A conman finds refuge in becoming a baba and carries out his various criminal activities under the guise. A policeman, a journalist and politicians get entangled in his Web of deceit.",N/A,N/A,11 Mar 2016,,120 min,movie,N/A,Vishal Vijay Kumar,2016
"Shadab Khan, Anurita Jha, Sapna Thakur, Tinnu Anand",N/A,N/A,N/A,Alok Shrivastav,Thriller,tt4788726,6.1,14,Hindi,N/A,The Unsound,"THE UNSOUND' is a story of Dev Oberoi, who suffers from multiple organic psychotic disorder-a condition that makes his behavior extremely unpredictable and at times even violent. A failed ...",N/A,N/A,08 Feb 2013,,105 min,movie,N/A,Alok Shrivastav,2013
"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Ayaz Khan",N/A,N/A,N/A,Shawn Arranha,"Drama, Horror, Thriller",tt1492872,4.2,145,"Hindi, Marathi, Panjabi, English",N/A,Hide & Seek,Five former friends are abducted and held in a locked mall by a person dressed as Santa Claus.,N/A,N/A,12 Mar 2010,,105 min,movie,N/A,"Apoorva Lakhia (screenplay), Apoorva Lakhia (story), Suresh Nair (screenplay), Raj Vasant (dialogue)",2010
"Randeep Hooda, Mahie Gill, Jimmy Shergill, Shreya Narayan",3 nominations.,N/A,N/A,Tigmanshu Dhulia,"Action, Crime, Drama",tt2073070,7.2,"3,270","Hindi, English",N/A,Saheb Biwi Aur Gangster,"Hired to kill a nobleman, the assassin instead falls for the former's unstable wife.",N/A,N/A,23 Sep 2011,,118 min,movie,N/A,"Sanjay Chauhan, Tigmanshu Dhulia",2011
"Yugesh Anil, Mohammed Zeeshan Ayyub, Vishwanath Chatterjee, Tarun Dudeja",N/A,N/A,N/A,Kunal Deshmukh,"Crime, Drama, Thriller",tt3483712,6.1,"3,327",Hindi,N/A,Raja Natwarlal,A small-time con man seeks assistance from his mentor with the intention of settling scores with a gangster.,UTV Communications,N/A,29 Aug 2014,,141 min,movie,N/A,"Parveez Sheikh (story and screenplay), Sanjay Masoomm (dialogue)",2014
